Sum of Value,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,Grand Total
France,29645.80,30089.39,29949.06,29888.71,30016.50,30335.23,31012.87,31739.09,32443.01,33131.03,33818.59,34517.50,35234.83,35972.56,36730.31,37505.64,38293.90,39080.63,39860.16,40628.55,41383.86,42124.98,42851.23,43563.50,44261.36,44945.44,45616.59,46275.60,46924.96,47567.61,48205.37,48839.33,49471.36,50103.82,50738.70,51377.63,52020.58,52671.15,53330.63,54000.89,54681.74,55373.43,56076.91,56793.04,57520.54,58258.05,59004.03,59756.88,60514.09,61273.01,62030.98,2277450.64
Germany,33432.25,34660.30,35039.33,35296.18,36051.94,36865.72,37315.43,37723.85,38161.91,38628.56,39116.08,39616.48,40125.30,40641.04,41162.60,41687.59,42219.44,42760.34,43312.74,43876.36,44454.31,45050.11,45664.98,46302.25,46962.74,47648.83,48362.87,49103.18,49873.03,50670.67,51489.94,52330.22,53188.71,54065.82,54961.70,55876.00,56806.29,57756.73,58726.44,59717.08,60726.58,61753.68,62795.60,63852.37,64921.41,66004.20,67094.61,68198.60,69307.71,70416.43,71521.36,2533297.85
Greece,24004.17,22235.75,20626.18,19780.87,19670.85,19999.43,21024.04,22098.23,23079.63,23980.44,24829.32,25647.97,26451.92,27245.44,28032.05,28812.79,29588.48,30372.57,31157.19,31938.36,32718.10,33495.04,34263.73,35018.12,35740.34,36425.31,37069.22,37678.49,38251.86,38793.92,39304.61,39791.03,40256.87,40706.37,41144.62,41576.32,42001.00,42429.95,42864.00,43307.03,43760.54,44226.25,44705.56,45200.15,45706.27,46226.75,46756.50,47298.43,47851.83,48417.21,48992.55,1782553.63
Hungary,16920.94,17208.31,16932.57,17157.75,17518.25,17821.52,18150.39,18488.62,18834.47,19186.64,19547.21,19921.64,20312.72,20722.96,21147.95,21589.53,22049.94,22532.24,23037.75,23559.90,24098.17,24653.18,25224.96,25811.44,26413.84,27033.73,27669.94,28323.40,28991.09,29672.52,30359.19,31054.70,31761.82,32478.98,33204.31,33935.86,34672.94,35414.68,36161.42,36912.48,37666.94,38423.70,39188.02,39962.56,40747.78,41546.03,42358.51,43189.84,44045.27,44927.36,45837.49,1454383.46
Iceland,32758.87,33209.91,33301.34,34005.22,34534.73,35246.26,35242.14,35223.13,35281.27,35432.97,35672.48,35987.92,36368.31,36805.64,37293.97,37828.50,38406.32,39025.32,39683.69,40378.97,41108.53,41871.23,42664.72,43483.90,44315.37,45148.39,45980.66,46810.84,47637.85,48460.33,49277.85,50089.69,50896.50,51700.29,52502.34,53304.49,54107.95,54914.29,55724.52,56538.59,57357.11,58181.10,59012.58,59853.22,60704.15,61566.50,62440.49,63326.71,64225.43,65136.87,66061.96,2376091.43
India,3004.43,3196.92,3310.91,3416.45,3541.23,3705.23,3885.71,4072.01,4265.80,4469.08,4683.34,4909.64,5148.72,5401.13,5667.28,5947.48,6241.91,6550.60,6873.49,7210.38,7561.01,7925.11,8302.40,8692.51,9095.01,9509.48,9935.58,10373.17,10822.24,11282.83,11755.07,12239.20,12735.50,13244.24,13765.65,14299.96,14847.44,15408.38,15982.94,16571.15,17172.94,17788.21,18416.85,19058.64,19713.09,20379.47,21056.98,21744.86,22442.30,23148.46,23862.48,554634.87
Indonesia,3873.15,4071.48,4272.83,4465.56,4665.03,4900.93,5132.90,5372.77,5624.29,5887.99,6163.46,6450.10,6747.39,7054.74,7371.50,7697.07,8030.88,8372.47,8721.44,9077.45,9440.20,9809.47,10185.18,10567.45,10956.50,11352.70,11756.62,12169.11,12591.32,13024.61,13470.52,13930.71,14406.81,14900.33,15412.65,15944.90,16497.86,17071.58,17665.37,18277.82,18906.96,19550.32,20205.02,20867.58,21534.17,22200.50,22862.05,23514.33,24153.28,24775.88,25379.84,637335.07
Ireland,36201.55,36808.41,36662.69,36317.68,36749.00,37272.46,38200.84,39120.07,39937.48,40690.64,41427.62,42175.89,42985.47,43853.61,44771.33,45722.91,46690.15,47641.67,48564.22,49445.68,50275.93,51046.51,51751.97,52388.16,52953.49,53447.66,53872.28,54231.04,54528.72,54772.36,54969.41,55128.83,55260.68,55374.75,55482.12,55593.08,55718.44,55868.15,56051.63,56273.14,56536.39,56844.08,57197.18,57594.57,58032.40,58504.52,59004.47,59526.27,60064.15,60613.81,61171.81,2561317.35
Israel,28613.88,29438.96,30001.60,30657.24,31280.79,31981.13,32531.19,33048.38,33561.36,34090.74,34649.09,35237.32,35849.54,36484.09,37137.95,37808.88,38497.34,39204.58,39928.51,40665.33,41410.82,42161.11,42912.75,43662.49,44407.55,45145.85,45875.97,46595.35,47304.57,48007.24,48707.70,49410.43,50120.53,50843.60,51585.29,52350.34,53142.16,53962.47,54811.72,55689.27,56593.90,57524.73,58480.99,59461.03,60462.56,61483.48,62522.94,63581.22,64658.27,65753.83,66867.63,2336165.67
Italy,27095.90,27107.16,26325.80,25718.36,25738.41,25919.01,26274.42,26665.90,27053.10,27451.85,27881.09,28341.24,28835.12,29363.76,29925.63,30514.24,31122.65,31736.14,32344.48,32944.82,33534.24,34115.73,34688.97,35255.25,35815.45,36370.71,36925.05,37479.22,38036.85,38600.05,39170.07,39751.81,40348.66,40962.83,41595.64,42249.40,42924.69,43622.84,44344.52,45091.55,45863.91,46662.34,47488.71,48343.15,49224.79,50135.60,51075.09,52045.35,53046.36,54079.80,55144.61,1902352.31
Japan,31063.46,30932.30,31398.53,31910.11,32319.91,32770.84,33044.23,33324.74,33656.68,34040.86,34469.40,34935.36,35434.86,35966.29,36529.05,37122.82,37747.43,38402.40,39085.91,39794.66,40524.86,41267.96,42013.03,42759.84,43508.52,44259.32,45012.31,45767.65,46525.53,47286.39,48051.21,48821.96,49602.07,50395.31,51205.53,52036.67,52893.56,53781.59,54704.92,55666.40,56668.70,57714.81,58808.98,59955.09,61142.36,62363.25,63606.39,64868.79,66148.90,67440.91,68747.48,2337500.13
Korea,29436.12,30345.51,30870.31,31619.98,32706.25,33915.76,34988.67,36031.38,37074.15,38121.66,39170.79,40217.40,41258.25,42290.69,43314.05,44328.37,45333.44,46329.86,47319.33,48304.46,49287.87,50271.66,51258.10,52250.01,53250.29,54261.57,55286.42,56327.02,57384.50,58458.73,59549.08,60655.31,61777.49,62915.10,64067.25,65233.22,66412.87,67607.16,68817.48,70045.15,71291.52,72557.77,73845.87,75158.80,76499.52,77870.45,79273.75,80710.31,82179.47,83679.26,85207.93,2816367.38
Luxembourg,68358.61,68533.64,67356.47,67783.82,68677.76,69428.63,71005.24,72529.78,73856.98,75031.12,76116.50,77162.62,78167.50,79148.37,80113.31,81066.59,82013.08,82955.08,83891.57,84823.46,85751.61,86675.46,87597.92,88519.00,89441.50,90368.25,91300.24,92247.68,93207.73,94186.60,95187.64,96212.08,97262.48,98338.20,99440.07,100562.19,101704.19,102866.80,104050.01,105253.26,106475.65,107713.78,108970.07,110242.92,111528.14,112824.71,114126.65,115433.99,116744.89,118057.63,119371.02,4649682.51
Mexico,12356.45,12688.42,12992.09,13003.90,13281.34,13667.95,13921.48,14150.06,14381.41,14621.99,14872.81,15134.51,15408.66,15696.09,15997.34,16315.78,16654.70,17017.20,17406.17,17823.99,18272.64,18753.67,19268.12,19816.41,20398.41,21013.52,21660.66,22338.34,23044.81,23778.25,24536.76,25318.56,26122.03,26945.58,27787.73,28647.11,29521.38,30406.31,31301.70,32207.44,33123.53,34050.23,34988.12,35937.88,36900.21,37875.84,38865.66,39870.73,40892.15,41931.16,42988.98,1205956.28
Netherlands,36984.06,37174.56,36525.69,36078.71,36272.99,36596.47,37541.71,38574.48,39574.76,40547.50,41512.19,42477.25,43437.38,44395.50,45354.39,46313.39,47274.07,48236.94,49204.24,50176.47,51155.21,52144.81,53147.79,54165.58,55198.91,56246.70,57315.49,58408.71,59527.76,60675.05,61846.93,63043.55,64263.18,65505.81,66770.15,68056.19,69360.38,70685.47,72031.55,73395.89,74774.28,76166.10,77568.55,78981.18,80401.72,81826.15,83248.84,84671.13,86091.40,87506.75,88913.50,2967347.47
New Zealand,25597.63,25635.30,26114.03,26495.74,27143.54,27751.57,28132.57,28508.66,28928.40,29392.02,29889.13,30409.42,30945.71,31493.69,32051.50,32618.52,33194.73,33780.60,34376.60,34982.68,35598.78,36225.23,36862.58,37511.16,38171.14,38842.71,39526.36,40222.52,40931.13,41651.58,42383.21,43125.87,43880.17,44646.55,45424.89,46214.81,47015.85,47828.24,48652.70,49490.04,50340.64,51204.50,52081.40,52970.83,53871.99,54783.96,55706.33,56639.20,57582.46,58536.18,59500.75,2044865.78
Norway,55403.33,55484.92,56441.48,56170.02,56704.28,57481.40,58940.07,60292.34,61539.23,62695.13,63776.37,64800.01,65760.75,66674.17,67555.29,68416.91,69270.14,70124.58,70986.31,71858.54,72743.11,73640.32,74550.22,75472.23,76405.42,77348.72,78301.14,79262.71,80232.93,81210.73,82195.45,83186.70,84184.88,85190.80,86203.96,87224.36,88251.97,89287.41,90331.36,91384.43,92447.61,93521.63,94608.13,95708.06,96822.80,97952.65,99099.25,100263.72,101446.44,102647.78,103867.25,3975369.44
Poland,17351.78,18116.28,18446.19,18710.99,19243.21,19883.65,20445.59,20992.04,21532.12,22066.83,22595.61,23117.06,23630.74,24137.44,24640.63,25141.80,25643.84,26149.08,26658.06,27170.00,27684.68,28201.17,28718.19,29234.07,29746.39,30253.58,30753.36,31246.34,31731.55,32209.51,32680.03,33143.49,33599.63,34049.53,34491.28,34923.55,35346.71,35763.30,36170.75,36570.45,36967.71,37364.90,37766.51,38173.22,38584.78,39002.64,39427.31,39861.38,40308.19,40767.98,41241.52,1521656.63
Portugal,21778.89,21482.90,20768.34,20465.00,20676.09,20956.78,21412.18,21841.44,22194.14,22495.11,22776.25,23063.68,23380.28,23737.23,24140.59,24593.10,25098.49,25661.66,26284.70,26964.77,27694.94,28465.64,29256.82,30062.01,30876.01,31694.70,32514.41,33333.86,34152.34,34970.35,35785.70,36599.97,37415.72,38235.51,39061.27,39891.47,40726.30,41568.68,42418.89,43278.85,44147.85,45027.79,45917.30,46817.19,47725.64,48642.16,49565.78,50497.22,51438.17,52388.95,53351.20,1703294.32
Russia,15934.92,16635.28,17239.12,17507.58,17635.51,18001.54,18744.17,19536.35,20299.16,21033.53,21756.84,22484.59,23226.94,23990.15,24777.04,25588.53,26424.90,27285.14,28165.46,29059.91,29960.92,30859.41,31745.07,32606.06,33428.29,34201.44,34916.01,35563.85,36139.66,36641.71,37072.67,37439.81,37755.20,38035.53,38301.30,38575.33,38881.24,39241.96,39678.95,40210.88,40852.48,41613.68,42498.59,43504.67,44623.12,45839.26,47133.73,48483.72,49863.96,51249.11,52614.79,1664859.07
Slovak Republic,20185.89,20718.27,21023.50,21154.12,21517.44,22070.47,22831.33,23651.09,24464.46,25258.45,26032.22,26785.80,27519.41,28236.61,28941.35,29637.93,30325.78,31008.62,31689.41,32365.36,33035.56,33701.06,34360.54,35013.45,35656.78,36286.96,36904.22,37507.31,38094.70,38666.99,39225.10,39772.84,40310.22,40839.65,41361.33,41875.79,42388.01,42898.30,43408.24,43921.18,44439.27,44965.53,45505.16,46062.25,46636.47,47231.55,47847.52,48487.93,49156.37,49852.22,50580.96,1811411.00
Slovenia,25031.48,25041.94,24255.32,23851.33,23805.76,23981.67,24567.04,25192.55,25784.65,26341.76,26886.48,27429.05,27971.92,28523.36,29089.19,29670.05,30270.36,30893.37,31542.88,32219.55,32923.58,33652.82,34406.90,35185.19,35984.49,36800.61,37630.68,38468.48,39311.29,40156.97,41003.31,41847.55,42688.19,43526.47,44359.00,45185.21,46006.90,46825.76,47646.60,48471.28,49301.37,50140.74,50994.97,51864.02,52750.72,53659.60,54588.15,55534.95,56499.61,57475.24,58459.59,1945699.95
South Africa,9251.11,9492.45,9645.51,9755.21,9935.30,10188.33,10685.79,11230.53,11776.65,12321.67,12872.79,13436.46,14016.72,14616.00,15235.35,15874.55,16532.39,17206.81,17895.16,18594.11,19300.21,20010.17,20721.01,21429.62,22133.00,22828.23,23512.48,24183.47,24839.75,25480.61,26105.95,26716.23,27312.38,27895.70,28467.72,29030.17,29584.78,30133.26,30677.05,31217.32,31754.76,32289.64,32821.80,33350.58,33874.67,34392.44,34902.37,35403.07,35892.91,36370.16,36833.20,1150027.57
Spain,26956.00,26864.73,26318.66,25891.92,26052.86,26343.29,26850.21,27332.60,27739.67,28092.57,28419.97,28743.03,29088.14,29464.15,29877.38,30330.61,30821.69,31334.73,31855.70,32382.36,32913.38,33447.56,33983.74,34520.38,35055.54,35583.15,36097.98,36599.37,37087.78,37564.86,38033.06,38495.94,38957.55,39422.17,39893.40,40375.05,40870.79,41384.75,41919.86,42477.82,43059.41,43665.24,44296.24,44953.08,45635.48,46342.41,47073.60,47829.80,48611.55,49418.98,50252.14,1836582.34
Sweden,34209.77,34928.52,35067.55,35305.36,35999.12,36846.28,37689.25,38547.18,39426.02,40324.79,41239.07,42163.93,43083.30,43994.80,44898.31,45795.24,46688.17,47580.09,48473.28,49368.65,50266.53,51166.96,52069.29,52972.29,53874.10,54772.72,55666.21,56553.05,57431.59,58300.27,59157.57,60002.74,60835.68,61656.29,62464.17,63258.66,64039.76,64807.84,65563.77,66309.14,67046.15,67777.47,68506.12,69235.04,69965.24,70702.14,71447.23,72209.57,72993.41,73801.23,74630.53,2771111.44
Switzerland,39237.66,39498.17,39491.49,39860.29,40252.45,40886.28,41488.33,42100.05,42734.65,43393.80,44076.15,44779.73,45487.22,46198.16,46913.72,47635.29,48366.76,49110.52,49868.42,50640.92,51429.37,52237.54,53065.08,53913.10,54779.52,55663.80,56564.71,57479.25,58406.77,59344.72,60289.11,61239.27,62193.50,63151.09,64112.54,65076.87,66044.36,67018.45,67999.96,68992.61,69995.44,71012.11,72043.09,73091.14,74153.49,75232.76,76327.61,77438.29,78564.09,79705.35,80857.71,2909442.78
Turkey,12671.21,13609.06,13722.32,14099.79,14315.04,14717.22,15505.69,16321.40,17081.07,17784.39,18449.45,19094.80,19735.10,20379.35,21033.37,21699.92,22379.21,23070.00,23770.76,24479.42,25193.76,25911.55,26630.74,27349.50,28066.26,28779.63,29488.36,30191.33,30887.58,31576.44,32257.38,32930.06,33594.42,34250.52,34898.67,35539.22,36172.70,36799.83,37421.29,38037.84,38650.39,39260.17,39868.84,40478.04,41089.42,41704.62,42325.45,42953.82,43591.50,44239.95,44900.43,1458958.30
United Kingdom,32894.54,33044.27,32910.91,33231.88,34065.18,34741.65,35412.59,36138.54,36923.15,37752.72,38610.75,39483.06,40360.46,41237.37,42112.17,42985.93,43861.74,44743.76,45635.73,46540.58,47460.87,48398.91,49356.67,50332.48,51311.93,52287.64,53257.25,54219.26,55172.55,56115.96,57048.61,57970.52,58882.87,59787.02,60684.18,61575.56,62462.63,63347.45,64231.94,65118.11,66007.86,66903.17,67806.06,68717.78,69638.85,70569.02,71507.90,72455.34,73410.44,74371.49,75336.49,2678433.79
United States,43549.75,43979.21,44832.54,45311.59,46194.71,47448.50,48620.55,49673.36,50650.98,51589.66,52511.63,53428.39,54345.56,55266.81,56195.13,57133.27,58084.11,59050.88,60035.47,61029.77,62022.33,63012.50,63999.90,64984.12,65963.99,66938.25,67906.14,68867.39,69821.69,70768.30,71706.63,72637.46,73562.18,74481.22,75394.24,76300.80,77201.02,78095.85,78986.13,79872.57,80755.21,81633.71,82507.55,83375.85,84237.14,85089.56,85931.82,86763.24,87583.11,88391.24,89188.12,3396911.15
Grand Total,1069054.13,1084019.02,1085481.48,1089782.45,1105034.82,1125631.92,1151923.99,1178593.10,1204599.28,1230185.11,1255725.50,1281431.38,1307409.02,1333739.95,1360477.31,1387632.62,1415200.53,1443221.11,1471678.79,1500514.88,1529686.97,1559148.19,1588862.48,1618774.46,1648794.25,1678858.16,1708899.22,1738942.24,1768973.83,1799002.55,1829005.27,1858997.16,1889074.46,1919296.82,1949717.63,1980382.16,2011312.91,2042637.68,2074418.19,2106720.03,2139582.96,2173023.77,2207118.96,2241886.29,2277277.86,2313281.95,2349826.81,2386916.59,2424507.54,2462550.78,2500994.76,86859809.33
