Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Italy,27095.9038527474,27107.1602444144,26325.8045770488,25718.3552213967,25738.4084070093,25919.0118181281,26274.4238997637,26665.8972138103,27053.0988002516,27451.8506439578,27881.0853311735,28341.2407583242,28835.1205456137,29363.761344167,29925.6297689471,30514.2379233999,31122.6503086313,31736.1409852896,32344.4779182288,32944.8191373997,33534.2365100609,34115.7283104539,34688.9662548059,35255.2457558537,35815.4508974776,36370.7105200379,36925.0456094399,37479.2225580901,38036.8546094455,38600.0539136835,39170.070115362,39751.8084049735,40348.6553145508,40962.8309532106,41595.6360486315,42249.4026288196,42924.6928450177,43622.836925643,44344.5171392533,45091.5471053538,45863.9060310028,46662.3447139506,47488.7118097141,48343.1534768265,49224.7886329151,50135.597362418,51075.0935676367,52045.3484205008,53046.3576540874,54079.8038491393,55144.6115099061
Japan,31063.4560690666,30932.3038744219,31398.5263934591,31910.113214058,32319.9129870317,32770.8379670464,33044.2279068586,33324.7365967406,33656.6847918155,34040.8592400225,34469.4049753571,34935.3614914848,35434.8627527731,35966.2905074181,36529.050530345,37122.8241520178,37747.4307286598,38402.3961500389,39085.9092875863,39794.6631954797,40524.8613139035,41267.9608740354,42013.031644707,42759.8360611085,43508.5173208449,44259.3183058635,45012.3052207478,45767.654776268,46525.5305161547,47286.3921196671,48051.2111975634,48821.9586659573,49602.067497323,50395.3080907018,51205.5333425331,52036.6660076834,52893.5576836551,53781.5910454423,54704.9161430806,55666.3993450381,56668.7021672784,57714.8114955594,58808.9808323371,59955.0854854334,61142.3634922327,62363.2489355332,63606.3906309716,64868.7933512784,66148.8962336895,67440.9126273828,68747.478451308
Korea,29436.1221981234,30345.5142780754,30870.3139261531,31619.9757277914,32706.2544799079,33915.7627051005,34988.6744219766,36031.3806665863,37074.1533966779,38121.6593484138,39170.7894480722,40217.4005497939,41258.2480293723,42290.6948392985,43314.0548890292,44328.365607626,45333.4427028142,46329.8597344493,47319.3262008327,48304.462219915,49287.8733860792,50271.6605983856,51258.1000416965,52250.0134642776,53250.2911293143,54261.5731447994,55286.4209903129,56327.0153419241,57384.5000319806,58458.7282322011,59549.0777287993,60655.306569457,61777.4869530324,62915.1035942056,64067.2531930572,65233.2156323261,66412.8729257929,67607.1570482653,68817.4800660904,70045.1468190289,71291.5164114934,72557.7745361068,73845.8651494827,75158.7980900087,76499.5177602197,77870.4454128575,79273.7508903191,80710.3077457223,82179.4745445714,83679.2643157196,85207.9341840086
Luxembourg,68358.6105810935,68533.6374474578,67356.4735704914,67783.8244200617,68677.7585072359,69428.631294502,71005.2410886388,72529.7829673321,73856.9817811276,75031.1234235892,76116.5031597833,77162.6215811284,78167.4984082643,79148.3684565736,80113.3122329425,81066.5872317714,82013.0756679166,82955.077306956,83891.568691448,84823.4555674584,85751.6051416242,86675.4641338273,87597.9208212094,88518.9994239954,89441.4956088628,90368.2466973462,91300.2355962459,92247.6778516378,93207.7346559297,94186.6034064686,95187.63931768,96212.0843779164,97262.4796129788,98338.1954662091,99440.0710309459,100562.187382852,101704.194210611,102866.802265254,104050.012977924,105253.263774605,106475.645284792,107713.78222215,108970.074775411,110242.919236654,111528.136223553,112824.706738269,114126.654465844,115433.990230573,116744.89364271,118057.632887468,119371.023514166
Mexico,12356.4520015602,12688.4186565589,12992.0892420695,13003.9014580359,13281.3423088802,13667.9549457736,13921.4811642726,14150.0574672048,14381.4050609655,14621.9870257086,14872.8131053462,15134.5123941336,15408.6649806705,15696.0938889047,15997.3371061383,16315.783401644,16654.699852218,17017.1989423451,17406.1664154543,17823.9898750132,18272.6375594139,18753.668053756,19268.1212159743,19816.4064190875,20398.4109672775,21013.5225882053,21660.6564502346,22338.3368724428,23044.8134223742,23778.2526226654,24536.7620370497,25318.5606028639,26122.0320488297,26945.583717746,27787.731687965,28647.1100151032,29521.3787496522,30406.3097163452,31301.7041018317,32207.4438873072,33123.5267492007,34050.2263661554,34988.1210176629,35937.8787673975,36900.208310098,37875.8424372854,38865.6620039954,39870.7274949802,40892.1498700283,41931.1594577316,42988.9811775558
Netherlands,36984.0588428201,37174.563900637,36525.6858144528,36078.705912271,36272.9858372259,36596.4685166665,37541.7095135204,38574.4835388323,39574.7561324611,40547.5034195376,41512.1928822783,42477.2522838009,43437.3763211335,44395.5029612898,45354.3884276056,46313.3850532379,47274.0699808385,48236.9436417175,49204.2395293341,50176.4703140864,51155.2120964853,52144.8093406178,53147.7892614508,54165.5812062448,55198.9125950712,56246.6999750527,57315.4867311768,58408.7148925142,59527.7635148629,60675.0533074865,61846.9311842857,63043.5489768614,64263.1803537125,65505.811419256,66770.1460388891,68056.192930086,69360.3778112792,70685.4670254811,72031.5511240056,73395.891505044,74774.276850579,76166.098718466,77568.5541779682,78981.1759843676,80401.7247970067,81826.1542597008,83248.8448423334,84671.1323781826,86091.398609227,87506.7507661057,88913.495461566
New Zealand,25597.6257027895,25635.296170561,26114.0273799471,26495.7427664243,27143.5401753159,27751.5719579911,28132.571890859,28508.6617837896,28928.396748402,29392.0182368116,29889.1327714452,30409.4246748713,30945.712029185,31493.6898481237,32051.4998567013,32618.5176926246,33194.727371701,33780.5978557253,34376.5974055809,34982.6751108892,35598.7784957688,36225.2290480472,36862.5780212289,37511.1646209627,38171.1425614428,38842.7080784293,39526.3559610517,40222.5184879776,40931.1340374798,41651.5826931127,42383.2060141887,43125.8668429151,43880.172196123,44646.5499601379,45424.8945806449,46214.8134922162,47015.8484145087,47828.2394706118,48652.7011534838,49490.0354168242,50340.637375814,51204.4966738392,52081.3950236894,52970.8303959788,53871.9916657835,54783.9599360416,55706.3283555658,56639.2019732214,57582.4556114097,58536.1795575758,59500.7543019321
Norway,55403.3277162896,55484.9184614314,56441.4833495972,56170.020811882,56704.2797559551,57481.4005671044,58940.0698769884,60292.3399383826,61539.2268768885,62695.1348704082,63776.3694674767,64800.0088023342,65760.7529722817,66674.1722277065,67555.2907523881,68416.9057762511,69270.142546643,70124.5845148666,70986.3121788994,71858.54381156,72743.1108792408,73640.3215546417,74550.2249595957,75472.2276635532,76405.4207169094,77348.7189448382,78301.1406354791,79262.7059861414,80232.9319335145,81210.7308116208,82195.4476281143,83186.7021433872,84184.8790442452,85190.7961655968,86203.9607147067,87224.3567642341,88251.9714655035,89287.4062287914,90331.3582230864,91384.4262131156,92447.6125157223,93521.6309113619,94608.1336811027,95708.0581276964,96822.7961186225,97952.6470059047,99099.2507415626,100263.717172597,101446.44114352,102647.780894748,103867.24689486
Poland,17351.7830070923,18116.284337087,18446.1946266525,18710.9892411407,19243.208212286,19883.6544118849,20445.586769897,20992.0350953147,21532.1155823962,22066.826722844,22595.6050578372,23117.0587472478,23630.744986295,24137.4368254887,24640.6262350236,25141.8041251939,25643.8423770256,26149.0794704088,26658.0574972563,27170.0030390296,27684.6817646864,28201.1665871714,28718.1940903609,29234.0688064421,29746.393282958,30253.5814399022,30753.3567378574,31246.3406194581,31731.5473951525,32209.5116384942,32680.0268858101,33143.4923495577,33599.6260710682,34049.5307811658,34491.2832758181,34923.5483691525,35346.7092632028,35763.2952579482,36170.7457370082,36570.4545981751,36967.7098035506,37364.8991889867,37766.5126497608,38173.2163436525,38584.7775946236,39002.6432505422,39427.3063976208,39861.3792715196,40308.1939939144,40767.9828592072,41241.5222609327
Portugal,21778.8946986944,21482.9011709661,20768.3397507374,20465.0019615322,20676.0890219484,20956.7805013043,21412.1777900182,21841.4389132862,22194.1431789347,22495.112257714,22776.2493931623,23063.675045555,23380.2810655153,23737.2306924386,24140.5908275173,24593.0967374169,25098.489646916,25661.6574173292,26284.7029304478,26964.7728438311,27694.9374670189,28465.6385635364,29256.8215404612,30062.0143237637,30876.0072707144,31694.7009170182,32514.4078412155,33333.8648035668,34152.3399777883,34970.34895105,35785.7020517818,36599.9652798397,37415.7170389508,38235.5147351144,39061.273713064,39891.4725511213,40726.3019467748,41568.6797146201,42418.8948162361,43278.8464743468,44147.8494865863,45027.7915841118,45917.2966006453,46817.1874751975,47725.6445644632,48642.1580807602,49565.7755633853,50497.216519404,51438.1712697506,52388.9545497999,53351.1990785676
Russia,15934.9224753138,16635.282943551,17239.1176056526,17507.5794485579,17635.5149007558,18001.5446490539,18744.1730596246,19536.3542693713,20299.1622599334,21033.5250295674,21756.8375982226,22484.5877936182,23226.940114763,23990.1539074956,24777.0393022617,25588.5263425925,26424.9003035206,27285.1383139336,28165.4555582375,29059.9134342511,29960.9190119496,30859.409283999,31745.0658947589,32606.0635167364,33428.2852269675,34201.4362720433,34916.0118693437,35563.8548719654,36139.658660585,36641.7095427855,37072.6670619246,37439.8124612159,37755.2047782787,38035.5295033475,38301.2990279006,38575.3311623148,38881.2358049565,39241.959587424,39678.9466276339,40210.8843837775,40852.477041893,41613.684205406,42498.5925473652,43504.6673131145,44623.1190508984,45839.2648466138,47133.7322114009,48483.722622511,49863.9571195157,51249.1071192224,52614.7890911189
Slovak Republic,20185.8927358145,20718.2723858918,21023.5022865146,21154.1211342027,21517.4414730298,22070.46536424,22831.3270486281,23651.0926669986,24464.4550837989,25258.4504037547,26032.2208483524,26785.8016385615,27519.4127643321,28236.6083174044,28941.3468978461,29637.9309845208,30325.7773525124,31008.6182357178,31689.414873642,32365.3588870971,33035.5558125719,33701.058578918,34360.5371006373,35013.4512585666,35656.7787580767,36286.9589969875,36904.2178312618,37507.3118399899,38094.7027682968,38666.9916059703,39225.0988136167,39772.8384248707,40310.2237884526,40839.6496457257,41361.3340239003,41875.7933209507,42388.0115154583,42898.3010309088,43408.2444679861,43921.1828284017,44439.2737785623,44965.5326168859,45505.1605646477,46062.249130415,46636.4651671242,47231.5531135431,47847.5242256091,48487.9346977082,49156.3702500073,49852.2209076651,50580.9632295626
Slovenia,25031.4788894787,25041.940143808,24255.3223968919,23851.3273975308,23805.7598792931,23981.6659009715,24567.0406901263,25192.5484720518,25784.6528094918,26341.7616375672,26886.4796262509,27429.0503459372,27971.9187136867,28523.3605995302,29089.1868430345,29670.0497651713,30270.363773857,30893.3652092934,31542.884227162,32219.5548322118,32923.5777393375,33652.8188736313,34406.8977494004,35185.1863238108,35984.4945898414,36800.6076562966,37630.6815193228,38468.4838264796,39311.2926652698,40156.9657141764,41003.308600812,41847.5477160893,42688.1860991234,43526.4712106677,44359.0012894017,45185.2146964466,46006.8966884577,46825.755267198,47646.5973861072,48471.2828133691,49301.3746813482,50140.7371522738,50994.9701326883,51864.0234336619,52750.7248990477,53659.6020408785,54588.1462586469,55534.9477676698,56499.606661791,57475.2424034205,58459.5903044609
